שם המוצר,"1 ק""ג",B1 ויטמין,B6 ויטמין,סיבים תזונתיים,חומצה פולית,אנרגיה,חלבונים,פחמימות,שומנים,נתרן,B3 ויטמין,אשלגן,C ויטמין,ברזל,1 יחידה,100 גרם,B2 ויטמין,K ויטמין,E ויטמין,מגנזיום,סוכרים מתוך פחמימות,A ויטמין,סיבים תזונתים,אבץ,מתוכם סוכר מוסף,"100 מ""ל",מתוכם שומן רווי,חומצות שומן טרנס,כפיות סוכר,סידן,כולסטרול,שומן חד בלתי רווי,שומן רב בלתי רווי,סוכרים,נתרן מופחת,רב כהלים,לקטוז,D ויטמין,"1 ס""מ",חלבונים (אלבומין|קזאין‎ 40|60),מתוך הפחמימות לקטוז,ויטמין D קלציפרול,3 חומצות שומן אומגה,DHA + EPA,קפאין,B12 ויטמין,ניאצין,B5 ויטמין,שומן ללא טרנס,חומצה פנתוטנית,שומן טרנס,שומן רווי,חומצות שומן רווי,ניקוטינאמיד,סיבים בלתי מסיבים,מתוכם שומן בלתי רווי,6 חומצות שומן אומגה,מתוך סוכרים חומצות אורגניות,רטיבות,אפר,סוכרוז,ביוטין,יוד,זרחן,מלח,ליקופן,מנגן,סיבים מסיסים,חומצות שומן אולאית,ויטמין E שווי אלפא טוקופרול,חומצת חומץ,ויטמין A שווי רטינול,חומצה אסקורבית,עמילן,ARA חומצת שומן,DHA חומצת שומן,נוקלאוטידים,חומצת שומן לינולאית,חומצת שומן לינולנית,סלניום,נחושת,טאורין,כולין,אינוסיטול,לוטאין,חומצה אלפא לינולנית,גלקטואוליגוסכרידים,כלור,קרניטין,כלוריד,חומצת שומן AA,ויטמין B3 ניקוטינאמיד שווי חומ,K אשלגן,לחות,כרום,מוליבדן,1 מטר,100 מטר,בלתי רווי,חומצה לאורית,חומצה לינולאית,DHA,EPA,כלורופיל,,
המבורגר מזרחי מבקר משובח,0,0,0,0,0,184,17,2,12,300,0,0,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,5,0.6,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורגר אנטריקוט קלאסי,0,0,0,0,0,244,14,2,20,400,0,0,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0,8,1.5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קציצות עראייס,0,0,0,0,0,244,14,2,20,800,0,0,0,0,0,6.64,0,0,0,0,1,0,0,0,0,0,9,1.5,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
המבורגר מסעדות,0,0,0,0,0,244,14,2,20,390,0,0,0,0,0,4.98,0,0,0,0,0.6,0,0,0,0,0,9.5,פחות מ 0.5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קבב מזרחי,0,0,0,0,0,211,17,2,15,350,0,0,0,0,0,3.98,0,0,0,0,0.5,0,0,0,0,0,7,0.8,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קבב אמיתי 100%,0,0,0,0,0,203,16,1,15,390,0,0,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,7,0.8,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קבב זהב,0,0,0,0,0,244,14,2,20,390,0,0,0,0,0,4.98,0,0,0,0,1,0,0,0,0,0,8,1.5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קבב רומני,0,0,0,0,0,203,15,2,15,350,0,0,0,0,0,3.98,0,0,0,0,0.5,0,0,0,0,0,7,0.9,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קבב בטעם כבש,0,0,0,0,0,203,15,2,15,350,0,0,0,0,0,3.98,0,0,0,0,0.5,0,0,0,0,0,7,0.9,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קבב יוני,0,0,0,0,0,211,17,2,15,350,0,0,0,0,0,4.98,0,0,0,0,0,0,0,0,0,0,7,0.8,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קבב ביתי,0,0,0,0,0,300,14,3.5,25.5,432,0,0,0,0,0,4.99,0,0,0,0,1.8,0,0,0,0,0,12.9,פחות מ 0.5,0,0,56.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קבב מזרחי מבקר מתובל,0,0,0,0,0,244,14,2,20,390,0,0,0,0,0,4.98,0,0,0,0,1,0,0,0,0,0,8,1.5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
עראיס פיתה במילוי בשר,0,0,0,0,0,279,12,15,19,390,0,0,0,0,0,9.98,0,0,0,0,3,0,0,0,0,0,9.8,פחות מ 0.5,0.75,0,42.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קציצות עגל מתובלות,0,0,0,0,0,206,14,1.5,16,395,0,0,0,0,0,6.58,0,0,0,0,0,0,0,0,0.8,0,7.2,פחות מ 0.5,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קבב טורקי,0,0,0,0,0,261,14,3.7,21,380,0,0,0,0,0,6.86,0,0,0,0,1.8,0,0,0,0,0,9.4,פחות מ 0.5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
המבורגר ריב אל גאוצ'ו,0,0,0,0,0,242,15,0.5,20,300,0,0,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0,9,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מיני המבורגר אלגאוצ'ו,0,0,0,0,0,242,15,0.5,20,300,0,0,0,0,0,7.47,0,0,0,0,0,0,0,0,0,0,9,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קלאסיקו קבב בקר אלגאוצ'ו,0,0,0,0,0,244,14,2,20,400,0,0,0,0,0,5.98,0,0,0,0,1.4,0,0,0,0,0,9,1,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קלאסיקו קבב בקר וכבש אלג,0,0,0,0,0,244,14,2,20,0,0,0,0,0,0,5.98,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
שיפודי שווארמה(פרגית),0,0,0,0,0,111,19,0,3.9,86,0,0,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,פחות מ 0.5,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מעורב ירושלמי קפוא,0,0,0,0,0,100,15,1,4,385,0,0,0,0,0,5.61,0,0,0,0,0.6,0,0,0,0,0,2,פחות מ 0.5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
סטייק עוף קפוא ארוז,29.9,0,0,0,0,98,3,0,3.2,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,פחות מ 0.5,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
המבורגר עטרה,0,0,0,0,0,211,17,2,15,390,0,0,0,0,0,3.98,0,0,0,0,0.5,0,0,0,0,0,7,0.8,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
סטייק עין קפוא,0,0,0,0,0,172,16,0,12,490,0,0,0,0,0,6.86,0,0,0,0,0,0,0,0,0,0,7.5,פחות מ 0.5,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
קבב בקר מזרחי בית יוסף,0,0,0,0,0,203,15,2,15,390,0,0,0,0,0,3.98,0,0,0,0,0.5,0,0,0,0,0,7,0.9,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
סטייק עין,0,0,0,0,0,144,17,1,8,500,0,0,0,0,0,7.49,0,0,0,0,0,0,0,0,0,0,3.5,פחות מ 0.5,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורקס גבינה שופרסל,0,0,0,0,0,317,6.4,28.9,19.6,495,0,0,0,0,0,1.99,0,0,0,0,1.7,0,0,0,0,0,10.7,פחות מ 0.5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"בורקס תפו""א שופרסל",0,0,0,0,0,285,4.4,28.7,16.9,370,0,0,0,0,0,1.86,0,0,0,0,1.6,0,0,0,0,0,9.4,פחות מ 0.5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורקס פטריות שופרסל,0,0,0,1.6,0,287,4.5,29.4,16.9,365,0,0,0,0,0,2.11,0,0,0,0,1.4,0,0,0,0,0,7.5,פחות מ 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורקס גבינה )16 יח'(,0,0,0,0,0,295,6.2,32.7,15.5,371,0,0,0,0,0,2.49,0,0,0,0,3,0,0,0,0,0,8.7,פחות מ 0.5,0.75,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"בורקס תפו""א )18 יח'(",0,0,0,0,0,250,4.4,29.2,12.8,316,0,0,0,0,0,2.46,0,0,0,0,1.7,0,0,0,0,0,6.7,פחות מ 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מיני בורקס גבינה,0,0,0,0,0,303,6,30.4,17.5,399,0,0,0,0,0,3.36,0,0,0,0,2.6,0,0,0,0,0,9.8,פחות מ 0.5,0.75,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"מיני בורקס תפו""א",0,0,0,0,0,257,4.5,30,13.2,319,0,0,0,0,0,2.84,0,0,0,0,1.8,0,0,0,0,0,7,פחות מ 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורקס גבינה,0,0,0,0,0,340,6,34,20,450,0,0,0,0,0,2.74,0,0,0,0,3,0,0,0,0,0,10,פחות מ 0.5,0.75,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורקס מיני גבינה,0,0,0,0,0,340,6,34,20,450,0,0,0,0,0,3.41,0,0,0,0,3,0,0,0,0,0,10,פחות מ 0.5,0.75,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"בורקס תפו""א",0,0,0,0,0,313,5.4,30,19,465,0,0,0,0,0,2.5,0,0,0,0,2.5,0,0,0,0,0,10,פחות מ 0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורקס יפו גבינה,0,0,0,0,0,295,6.2,32.5,15.6,388,0,0,0,0,0,2.98,0,0,0,0,3.2,0,0,0,0,0,8.8,פחות מ 0.5,0.75,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מאפה בורקס מים,0,0,0,0,0,195,7.4,20.3,0,560,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,פחות מ 0.5,0,0,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מאפה בורקס מים גבינהתרד,0,0,0,0,0,173,5.8,19.1,8,440,0,0,0,0,0,5.3,0,0,0,0,0.7,0,0,0,0,0,1.9,פחות מ 0.5,0,0,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"בורקס יפו תפו""א",0,0,0,0,0,249,4.4,29,12.8,329,0,0,0,0,0,2.65,0,0,0,0,1.9,0,0,0,0,0,6.7,פחות מ 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"חטיפי פילאס במילו תפו""א",0,0,0,1.8,0,278,4.9,23.4,0,400,0,0,0,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,18.3,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורקס פילו גבינה,0,0,0,0,0,254,5.8,29.5,12.5,383,0,0,0,0,0,3.32,0,0,0,0,4.2,0,0,0,0,0,1.9,פחות מ 0.5,1,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורקס פילו בולגרית,0,0,0,0,0,275,6.2,28.8,15,400,0,0,0,0,0,3.32,0,0,0,0,5.5,0,0,0,0,0,2.5,פחות מ 0.5,1.25,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"בורקס פילו תפו""א",0,0,0,0,0,250,4.8,31.7,11.6,349,0,0,0,0,0,3.32,0,0,0,0,5.9,0,0,0,0,0,1.2,פחות מ 0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מקלות פילו  תפוחי אדמה,0,0,0,0,0,250,4.8,31.7,11.6,349,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,1.2,פחות מ 0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מקלות פילו גבינה,0,0,0,0,0,254,5.8,29.5,12.5,383,0,0,0,0,0,4.42,0,0,0,0,0,0,0,0,0,0,1.9,פחות מ 0.5,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורקס פילו גבינה בולגרית,0,0,0,0,0,280,5.8,31.2,15.3,590,0,0,0,0,0,2.84,0,0,0,0,0,0,0,0,0,0,2,פחות מ 0.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"בורקס פילו תפו""א",0,0,0,0,0,307,5,38,15,300,0,0,0,0,0,2.84,0,0,0,0,5,0,0,0,0,0,1,פחות מ 0.5,0,0,פחות מ 2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
בורקס פילו אצבעות גבינה,0,0,0,0,0,283,5,35.5,13,398,0,0,0,0,0,2.84,0,0,0,0,0.9,0,0,0,0,0,2.5,פחות מ 0.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מיני בורקס פילו גבינה,0,0,0,0,0,317,6,35,17,450,0,0,0,0,0,3.06,0,0,0,0,0,0,0,0,0,0,2,פחות מ 0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מקלות בורקס פילו גבינה,0,0,0,0,0,317,6,35,17,450,0,0,0,0,0,3.32,0,0,0,0,1.6,0,0,0,0,0,2,פחות מ 0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"מקלות בורקס פילו תפו""א",0,0,0,0,0,316,4.7,37.4,16.2,320,0,0,0,0,0,3.48,0,0,0,0,2.1,0,0,0,0,0,2.7,פחות מ 0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מקלות בורקס פילו בטטה,0,0,0,0,0,311,4.6,32.1,17.8,273,0,0,0,0,0,3.48,0,0,0,0,3,0,0,0,0,0,3.3,פחות מ 0.5,0.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מקלות בורקס פילו צרפתי,0,0,0,0,0,295,6.3,32.4,15.6,343,0,0,0,0,0,3.48,0,0,0,0,0.8,0,0,0,0,0,3.5,פחות מ 0.5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
מקלות בורקס פילו פיצה,0,0,0,0,0,268,5.3,40.5,13.6,395,0,0,0,0,0,3.48,0,0,0,0,0,0,0,0,0,0,4.2,פחות מ 2.5,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
